GE|General Electric Company
BAC|Bank of America Corporation
SKX|Skechers U.S.A, Inc.
CLF|Cleveland-Cliffs Inc.
MSFT|Microsoft Corporation
AMD |Advanced Micro Devices, Inc.
F |Ford Motor Company
PBR| Petroleo Brasileiro S.A- Petrobras
ABEV| Ambev S.A
CHK| Chesapeake Energy Corporation
T| AT&T,Inc.
MU| Micron Technology, Inc.
TWX| Time Warner Inc.
JD| JD.com, Inc.
BBD| Banco Bradesco S.A
IQ| iQIYI, Inc.
CMCSA| Comcast Corporation
ITUB| Itapu Unibanco Holding S.A.
FOXA| Twenty-First Century Fox, Inc.
CSCO| Cisco Systems, Inc.
EBAY| eBay Inc.
FCX| Freeport-McMoRan Inc.
VALE| Vale S.A
RF| Regions Financial Corporation
AAPL| Apple Inc.
FB| Facebook Inc.